# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	DistMin	DistMax	redshift	theta	n det	SNR	90%C.R.	50%C.R.
#
run0008	MergerID000110	-115.471	-60.458	1.380720e+05	6.207200e+04	2.140720e+05	0.031	54.430	3	14.740	130.182	32.546
run0008	MergerID000115	12.930	-15.502	1.992960e+05	1.032960e+05	2.137569e+05	0.045	21.383	3	19.830	42.866	12.780
run0008	MergerID000131	105.089	77.129	2.547890e+05	1.317890e+05	2.719636e+05	0.058	20.639	3	14.930	17.869	4.757
run0008	MergerID000163	-8.594	-16.436	1.703389e+05	9.433890e+04	2.463389e+05	0.039	49.723	3	16.370	32.635	8.535
run0008	MergerID000182	158.664	-18.288	1.910499e+05	1.050499e+05	2.170405e+05	0.043	28.785	3	16.040	60.226	17.006
run0008	MergerID000212	153.011	45.594	3.637244e+05	1.847244e+05	3.813135e+05	0.082	17.574	2	12.170	1300.695	337.711
run0008	MergerID000215	-70.803	73.167	2.397487e+05	1.317487e+05	2.721622e+05	0.054	28.702	3	13.110	18.985	5.001
run0008	MergerID000217	17.069	26.499	1.751552e+05	9.015520e+04	1.878670e+05	0.040	21.385	2	12.770	884.248	251.211
run0008	MergerID000225	-51.362	3.433	2.656126e+05	1.526126e+05	3.156752e+05	0.060	33.429	3	12.380	216.446	68.166
run0008	MergerID000236	129.569	62.756	1.618488e+05	8.921914e+04	3.448488e+05	0.037	69.704	2	12.840	799.912	181.943
run0008	MergerID000262	-9.093	56.785	2.102891e+05	1.062891e+05	2.204524e+05	0.048	17.569	3	12.750	32.861	7.950
run0008	MergerID000279	-160.834	44.120	3.375801e+05	1.705801e+05	3.532701e+05	0.076	17.238	3	12.280	253.309	23.658
run0008	MergerID000288	177.033	85.830	2.085760e+05	1.115760e+05	2.320591e+05	0.047	26.349	3	14.500	14.873	4.032
run0008	MergerID000397	121.279	30.954	2.550638e+05	1.290638e+05	2.672846e+05	0.058	17.495	2	14.130	681.913	148.870
run0008	MergerID000407	41.736	-50.386	1.919847e+05	1.219847e+05	2.619847e+05	0.043	44.704	3	13.900	30.002	7.741
run0008	MergerID000450	165.179	-2.876	3.133666e+05	1.683666e+05	3.490308e+05	0.071	26.483	3	12.620	916.627	199.503
run0008	MergerID000477	-82.386	55.722	1.113640e+05	6.136400e+04	1.265981e+05	0.025	28.859	3	20.760	8.202	2.338
run0008	MergerID000503	169.110	-32.826	1.139782e+05	7.097820e+04	1.473616e+05	0.026	40.630	3	19.980	27.907	6.898
run0009	MergerID000001	99.432	-47.972	8.630377e+04	3.769559e+04	1.463038e+05	0.020	59.129	3	19.240	14.478	4.009
run0009	MergerID000029	172.147	-12.755	8.995408e+04	5.495408e+04	1.133440e+05	0.020	38.581	3	29.670	18.085	4.760
run0009	MergerID000044	-45.056	68.455	1.689436e+05	9.094360e+04	1.886788e+05	0.038	26.809	3	14.080	17.903	4.678
run0009	MergerID000056	-174.850	24.107	2.416419e+05	1.446419e+05	2.995226e+05	0.055	37.213	3	13.070	93.329	17.491
run0009	MergerID000081	-35.927	-27.148	2.060448e+05	1.130448e+05	2.990448e+05	0.047	49.957	2	14.600	1010.614	329.475
