run MergerID RA Dec Distance DistMin DistMax redshift theta ndet SNR A90 A50
run0576 MergerID000397 -168.648 14.908 262802.2 126802.2 262983.2 0.059 2.126 2.0 14.41 603.505 141.683
run0584 MergerID000213 112.093 26.426 156642.1 75642.1 157185.6 0.035 4.768 2.0 22.5 303.349 61.882
run0592 MergerID000035 -159.593 37.378 282926.9 136926.9 283459.6 0.064 3.514 2.0 15.25 616.028 128.477
run0595 MergerID000080 15.854 -35.175 349610.6 169610.6 349999.0 0.079 2.7 2.0 12.44 1593.819 452.799
run0595 MergerID000332 157.551 41.87 426010.4 207010.4 427461.3 0.096 4.724 2.0 15.38 852.132 224.511
run0596 MergerID000291 -43.409 -39.774 336323.2 162323.2 336523.1 0.076 1.975 2.0 15.2 877.56 230.491
run0600 MergerID000128 -30.664 5.741 170076.4 82076.4 170489.4 0.038 3.99 2.0 20.06 652.944 169.642
run0606 MergerID000304 171.916 1.909 307667.2 149667.2 308766.3 0.07 4.838 2.0 14.45 1184.742 276.364
run0607 MergerID000306 144.512 26.272 217250.4 105250.4 217331.1 0.049 1.562 2.0 21.2 623.543 178.547
run0610 MergerID000260 50.561 -52.473 240203.6 116203.6 240670.7 0.054 3.571 2.0 13.11 1462.784 499.065
run0612 MergerID000123 -145.568 -29.241 169589.2 81589.2 170130.6 0.038 4.574 2.0 12.05 656.498 187.936
run0612 MergerID000258 -3.33 -42.611 201405.1 97405.1 201687.0 0.046 3.03 2.0 21.25 526.08 129.435
run0613 MergerID000309 -16.793 -7.091 338617.6 163617.6 338628.0 0.077 0.449 2.0 12.35 1110.884 213.089
run0613 MergerID000375 -72.621 -79.521 227033.9 110033.9 227599.1 0.051 4.04 2.0 16.0 558.117 161.551
run0615 MergerID000207 143.425 56.825 327145.5 158145.5 327975.4 0.074 4.078 2.0 12.37 1264.134 318.722
run0615 MergerID000245 172.0 62.345 244626.3 118626.3 245302.3 0.055 4.256 2.0 18.77 754.971 232.786
run0620 MergerID000109 -86.181 -13.569 167613.3 80613.3 167811.6 0.038 2.786 2.0 16.48 496.259 81.936
run0621 MergerID000232 -27.788 19.985 172425.3 83425.3 172928.6 0.039 4.374 2.0 17.06 661.258 162.443
run0629 MergerID000224 165.327 -1.639 403136.1 195136.1 403336.6 0.091 1.807 2.0 12.32 1591.196 420.748
run0637 MergerID000089 31.749 -47.94 315792.5 152792.5 316121.4 0.071 2.614 2.0 12.47 1691.754 494.239
run0637 MergerID000393 148.511 29.587 424922.6 205922.6 425826.6 0.096 3.735 2.0 12.68 1405.607 471.106
run0638 MergerID000041 165.802 -0.78 380910.1 184910.1 382155.6 0.086 4.629 2.0 12.6 1478.626 385.393
run0641 MergerID000226 28.057 -21.463 74811.67 35811.67 75021.62 0.017 4.289 2.0 39.36 12.498 3.385
run0658 MergerID000260 79.223 7.739 31803.23 14803.23 31868.12 0.007 3.658 2.0 59.37 12.003 2.12
run0660 MergerID000397 31.7 -32.088 195571.5 94571.5 195745.7 0.044 2.418 2.0 16.77 112.757 30.008
run0672 MergerID000265 95.491 69.893 161027.8 78027.8 161153.9 0.036 2.267 2.0 16.36 133.379 19.425
run0688 MergerID000044 -129.992 44.17 183160.3 88160.3 183462.4 0.041 3.289 2.0 14.82 67.97 17.117
run0709 MergerID000364 35.29 37.317 72983.13 34983.13 73247.87 0.017 4.875 2.0 22.66 73.938 9.582
run0762 MergerID000202 -49.578 18.45 145264.7 70264.7 145414.5 0.033 2.601 2.0 16.63 191.487 41.791
run0763 MergerID000224 136.78 -6.789 181250.9 87250.9 181317.3 0.041 1.551 2.0 15.17 280.626 86.946
run0765 MergerID000033 -177.784 -75.667 136462.0 65462.0 136651.6 0.031 3.019 2.0 16.98 58.78 13.261
run0767 MergerID000231 -25.53 -5.046 224921.7 108921.7 225078.8 0.051 2.141 2.0 14.77 178.576 48.561
run0782 MergerID000343 143.052 60.252 111489.6 53489.6 111865.1 0.025 4.698 2.0 29.1 36.202 9.241
